Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,Solve status,Objective,BestBound,Gap,NumOfNodes,SolveTime,TimeBestSol,TimeInstance,TimeSolve,TimeTotal,NumOfIterations,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance3XS100_3_20,3,100,20,3,SCP,Feasible,160312,45021,0.719166,108080665,3600.07,691.328097820282,13.338202714920044,3600.1960451602936,3613.5342478752136,,3600,MT,YCR,NDI,NF,Instance3XS100_3_20
Instance4XS100_3_20,3,100,20,4,VGS(MIP),FEASIBLE_SOLUTION,168036.0,155567.4215751935,0.07420182832730186,28807,3602.7340000011027,3395.7343575954437,75.81249117851257,3602.828125476837,3678.6406166553497,10924679,3600,MT,YCR,NDI,NF,Instance4XS100_3_20
Instance4XS100_3_20,3,100,20,4,SCP,Feasible,166560,46481,0.720935,103471558,3600.07,3400.7270324230194,13.100820302963257,3600.180154323578,3613.280974626541,,3600,MT,YCR,NDI,NF,Instance4XS100_3_20
Instance5XS100_3_20,3,100,20,5,VGS(MIP),FEASIBLE_SOLUTION,168080.0,155169.98696377032,0.07680874010131884,26604,3603.0,3602.0641553401947,75.28128719329834,3603.1110310554504,3678.392318248749,10518156,3600,MT,YCR,NDI,NF,Instance5XS100_3_20
Instance5XS100_3_20,3,100,20,5,SCP,Feasible,166868,46821,0.719413,107450406,3600.07,999.9047985076904,13.103790760040283,3600.1860449314117,3613.289835691452,,3600,MT,YCR,NDI,NF,Instance5XS100_3_20
Instance1XS100_4_20,4,100,20,1,VGS(MIP),FEASIBLE_SOLUTION,202696.0,173907.83105834966,0.14202632978277974,10537,3600.7809999994934,3600.316573858261,93.31249976158142,3600.9103240966797,3694.222823858261,9148363,3600,MT,YCR,NDI,NF,Instance1XS100_4_20
Instance1XS100_4_20,4,100,20,1,SCP,Feasible,191564,60489,0.684236,102708296,3600.07,2691.3750007152557,14.572509050369263,3600.19940161705,3614.7719106674194,,3600,MT,YCR,NDI,NF,Instance1XS100_4_20
Instance2XS100_4_20,4,100,20,2,VGS(MIP),FEASIBLE_SOLUTION,174048.0,157204.05810886627,0.09677756648242852,10069,3600.6869999989867,3587.5500049591064,90.46875143051147,3600.8156564235687,3691.28440785408,10584403,3600,MT,YCR,NDI,NF,Instance2XS100_4_20
Instance2XS100_4_20,4,100,20,2,SCP,Feasible,169784,50233,0.704136,103889603,3600.07,3413.325693130493,14.360442161560059,3600.200695514679,3614.561137676239,,3600,MT,YCR,NDI,NF,Instance2XS100_4_20
Instance3XS100_4_20,4,100,20,3,VGS(MIP),FEASIBLE_SOLUTION,186804.0,164966.31081491054,0.11690161444663631,20616,3601.0,3600.379956960678,93.84377932548523,3601.1299896240234,3694.9737689495087,10325804,3600,MT,YCR,NDI,NF,Instance3XS100_4_20
