Instance ID,Lambda,numSKU,numBinsPerLocation,numReplicate,Solver,numVariables,numConstraints,ConfigTimeLimit,ConfigCores,ConfigCeilingRounding,ConfigDebugInfo,ConfigMIPFeasibility,End
Instance2XS50_4_10,4,50,10,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS50_4_10,4,50,10,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS50_4_10,4,50,10,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS50_4_10,4,50,10,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS50_4_10,4,50,10,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS50_4_10,4,50,10,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS50_4_10,4,50,10,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS100_2_20,2,100,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS100_2_20,2,100,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS100_2_20,2,100,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS100_2_20,2,100,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS100_2_20,2,100,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS100_2_20,2,100,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS100_2_20,2,100,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS100_2_20,2,100,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS100_2_20,2,100,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS100_2_20,2,100,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS100_3_20,3,100,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS100_3_20,3,100,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS100_3_20,3,100,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS100_3_20,3,100,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS100_3_20,3,100,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS100_3_20,3,100,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS100_3_20,3,100,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS100_3_20,3,100,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS100_3_20,3,100,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS100_3_20,3,100,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS100_4_20,4,100,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS100_4_20,4,100,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS100_4_20,4,100,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS100_4_20,4,100,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS100_4_20,4,100,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS100_4_20,4,100,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS100_4_20,4,100,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS100_4_20,4,100,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS100_4_20,4,100,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS100_4_20,4,100,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS200_2_20,2,200,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS200_2_20,2,200,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS200_2_20,2,200,20,2,HYB,,,3600,MT,YCR,NDI,NF,
Instance2XS200_2_20,2,200,20,2,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance3XS200_2_20,2,200,20,3,HYB,,,3600,MT,YCR,NDI,NF,
Instance3XS200_2_20,2,200,20,3,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance4XS200_2_20,2,200,20,4,HYB,,,3600,MT,YCR,NDI,NF,
Instance4XS200_2_20,2,200,20,4,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance5XS200_2_20,2,200,20,5,HYB,,,3600,MT,YCR,NDI,NF,
Instance5XS200_2_20,2,200,20,5,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance1XS200_3_20,3,200,20,1,HYB,,,3600,MT,YCR,NDI,NF,
Instance1XS200_3_20,3,200,20,1,VGS(CP),,,3600,MT,YCR,NDI,NF,
Instance2XS200_3_20,3,200,20,2,HYB,,,3600,MT,YCR,NDI,NF,
